experiment,score_band,records,errors,false_positives,false_negatives,error_rate
text_only,0.0-0.2,20,1,0,1,5.0
text_only,0.2-0.4,146,21,0,21,14.38
text_only,0.4-0.6,307,142,77,65,46.25
text_only,0.6-0.8,203,38,38,0,18.72
text_only,0.8-1.0,39,0,0,0,0.0
text_plus_all_engineered,0.0-0.2,165,18,0,18,10.91
text_plus_all_engineered,0.2-0.4,111,37,0,37,33.33
text_plus_all_engineered,0.4-0.6,114,49,28,21,42.98
text_plus_all_engineered,0.6-0.8,126,43,43,0,34.13
text_plus_all_engineered,0.8-1.0,199,25,25,0,12.56
text_plus_social,0.0-0.2,28,1,0,1,3.57
text_plus_social,0.2-0.4,146,22,0,22,15.07
text_plus_social,0.4-0.6,282,116,63,53,41.13
text_plus_social,0.6-0.8,217,46,46,0,21.2
text_plus_social,0.8-1.0,42,0,0,0,0.0
